,channels,gts,has_logo,listed,name_length,num_payouts,sale_duration2,user_age,user_type,US_ind,delivery_ind,org_desc_ind,org_fb_ind,org_twitter_ind,payee_name_ind,venue_US_ind,fraud,hour_user_created,hour_event_created,diff_event_user (hours),naive_bayes_name,naive_bayes_descr,name_pct_upper
0,5,0.0,0,1,60,0,33,36,1,1,0,0,0,0,0,1,1,20,1,868.265555556,0,0,1.0
1,0,868.02,1,0,27,1,28,149,3,1,1,1,0,1,1,1,0,17,21,3580.52611111,0,0,0.25
2,8,3500.0,0,1,28,4,54,214,3,1,1,1,0,0,1,1,0,16,4,5147.65777778,0,0,0.315789473684
3,6,1167.35,1,1,21,16,0,889,3,0,1,0,0,0,0,0,0,14,15,21336.5188889,0,0,0.333333333333
4,11,2313.15,0,1,66,0,63,35,3,1,0,1,0,0,1,1,0,19,15,836.278055556,0,0,0.125
5,6,302.57,1,1,44,3,65,299,1,1,0,1,0,0,1,1,0,15,17,7178.52777778,0,0,0.1
6,5,832.64,1,1,36,3,35,706,3,1,1,1,0,0,0,1,0,21,18,16940.8519444,0,0,0.136363636364
7,12,220.64,1,1,28,5,21,71,3,1,0,1,1,0,0,1,0,14,19,1708.815,0,0,0.222222222222
8,4,3706.36,1,1,19,0,38,0,3,1,0,0,0,0,0,1,0,19,19,0.000277777777778,0,0,0.176470588235
9,12,535.84,1,1,28,9,28,71,3,1,0,1,1,0,0,1,0,14,19,1708.93972222,0,0,0.222222222222
10,8,750.0,1,1,67,25,19,729,3,1,1,1,0,0,1,1,0,17,19,17497.8769444,0,0,0.1
11,10,685.44,0,1,47,24,27,430,3,1,1,0,1,1,0,0,0,6,20,10310.1633333,0,0,0.189189189189
12,8,178.0,1,1,60,4,75,814,4,1,1,1,0,0,1,1,0,11,11,19535.6822222,0,0,0.324324324324
13,5,833.14,1,1,88,13,62,465,4,1,1,1,0,0,0,1,0,9,19,11169.8802778,0,0,0.191780821918
14,11,1038.56,1,0,22,1,51,197,3,1,0,1,1,1,1,1,0,18,19,4728.77888889,0,0,0.15
15,6,2723.44,1,1,56,656,61,371,3,1,0,1,1,1,1,1,0,20,23,8907.03277778,0,0,0.2
16,6,2146.44,1,1,60,476,33,371,3,1,0,1,1,1,1,1,0,20,23,8907.06805556,0,0,0.14
17,5,34.62,1,1,46,0,19,3,1,1,0,1,0,0,1,1,0,3,17,62.2011111111,0,0,0.128205128205
18,11,1996.0,1,1,39,6,185,709,4,1,1,0,0,0,0,0,0,15,3,17028.5594444,0,0,0.206896551724
19,6,14424.18,1,1,25,1,51,125,3,1,1,1,0,0,0,1,0,0,21,2996.69583333,0,0,0.176470588235
20,6,3855.28,1,1,38,0,46,2,3,0,1,1,0,0,0,0,0,9,10,49.7411111111,0,0,0.147058823529
21,5,106.49,1,1,32,10,27,383,3,1,0,0,1,1,1,1,0,6,16,9178.12611111,0,0,0.2
22,5,268.7,0,1,22,6,19,448,3,1,0,1,0,0,1,1,0,17,21,10755.535,0,0,0.157894736842
23,8,132.0,1,1,60,55,35,454,3,1,1,0,1,1,1,1,0,20,18,10894.1963889,0,0,0.142857142857
24,6,1326.48,1,1,75,1,30,109,3,1,0,1,1,1,1,1,0,17,18,2616.86083333,0,0,0.185185185185
25,8,107.48,1,1,67,79,46,536,3,1,1,1,1,0,0,1,0,4,20,12855.9527778,0,0,0.145833333333
26,11,634.98,0,0,48,0,0,42,3,1,0,0,0,0,0,1,1,2,16,998.510833333,0,1,0.175
27,5,5860.0,1,1,58,5,35,259,3,1,1,1,1,1,1,1,0,15,15,6215.32638889,0,0,0.142857142857
